 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
219.000000 	421.450012 	58.931942 	98.855553 	39.319443 	55.750694 	0.404664 	0.055493 	
220.000000 	421.829987 	62.134808 	98.509720 	40.940819 	58.335590 	0.417179 	0.063094 	
221.000000 	422.200012 	66.608070 	98.233330 	43.644928 	62.426041 	0.422739 	0.064843 	
222.000000 	422.570007 	71.095573 	98.433334 	46.640579 	66.439064 	0.421554 	0.067740 	
223.000000 	422.940002 	77.148438 	97.824997 	50.100544 	71.738022 	0.431699 	0.072711 	
224.000000 	423.309998 	81.912064 	97.402779 	53.215698 	76.103996 	0.431293 	0.073545 	
225.000000 	423.679993 	85.046700 	97.873611 	55.036713 	79.057121 	0.435200 	0.073030 	
226.000000 	424.049988 	95.569267 	98.116669 	61.212681 	88.220314 	0.445497 	0.080014 	
227.000000 	424.420013 	99.120918 	97.536110 	63.320412 	91.212326 	0.448133 	0.083150 	
228.000000 	424.799988 	106.644272 	98.066666 	68.312683 	98.346878 	0.445404 	0.080998 	
229.000000 	425.170013 	114.185593 	97.747223 	72.185387 	104.785591 	0.458587 	0.085908 	
230.000000 	425.540009 	119.574478 	97.720833 	75.645470 	109.695313 	0.457882 	0.086233 	
231.000000 	425.910004 	127.828468 	98.615280 	81.125481 	117.328995 	0.454692 	0.085708 	
232.000000 	426.279999 	133.219101 	98.052780 	83.789612 	122.017014 	0.463686 	0.087834 	
233.000000 	426.649994 	140.039841 	97.449997 	88.228264 	128.195313 	0.461999 	0.088372 	
234.000000 	427.019989 	148.894272 	97.229164 	93.344200 	136.064056 	0.466943 	0.090110 	
235.000000 	427.390015 	160.599136 	97.943054 	100.969444 	146.241318 	0.464093 	0.093653 	
236.000000 	427.760010 	168.689941 	97.569443 	105.531639 	153.502960 	0.469051 	0.094342 	
237.000000 	428.130005 	177.917801 	97.261108 	111.206284 	161.958160 	0.469935 	0.093984 	
238.000000 	428.510010 	186.309036 	97.197220 	115.807671 	169.388718 	0.475476 	0.095211 	
239.000000 	428.880005 	191.832550 	97.216667 	119.121376 	174.210419 	0.476480 	0.096359 	
240.000000 	429.250000 	207.747665 	97.150002 	128.691849 	188.328644 	0.478903 	0.098135 	
241.000000 	429.619995 	223.256775 	97.129166 	138.009415 	201.937500 	0.481000 	0.100364 	
242.000000 	429.989990 	230.094360 	97.548615 	142.168243 	208.092010 	0.481478 	0.100509 	
243.000000 	430.359985 	241.362671 	97.401390 	148.595352 	218.302261 	0.485074 	0.100420 	
244.000000 	430.730011 	252.759109 	97.366669 	155.422470 	228.318222 	0.486290 	0.101696 	
245.000000 	431.100006 	261.451141 	97.352776 	160.778748 	236.829514 	0.486218 	0.098907 	
246.000000 	431.470001 	278.836975 	97.283333 	171.335693 	252.166138 	0.487002 	0.100539 	
247.000000 	431.839996 	288.826752 	97.213890 	177.282303 	260.842346 	0.488083 	0.101911 	
248.000000 	432.209991 	307.387421 	97.093056 	188.687927 	278.107452 	0.488014 	0.100101 	
249.000000 	432.579987 	319.286713 	97.300003 	196.361420 	288.828125 	0.486133 	0.100258 	
250.000000 	432.950012 	331.805298 	97.148613 	203.935074 	299.744629 	0.486747 	0.101617 	
251.000000 	433.320007 	350.446686 	97.523613 	215.598129 	316.713898 	0.485793 	0.101210 	
252.000000 	433.690002 	362.334717 	97.677780 	222.859177 	327.236298 	0.486029 	0.101886 	
253.000000 	434.059998 	380.040619 	98.049995 	234.236954 	343.173431 	0.483945 	0.102042 	
254.000000 	434.429993 	397.484985 	98.111115 	245.155197 	359.172211 	0.483265 	0.101355 	
255.000000 	434.799988 	414.473602 	97.563889 	255.467087 	373.591309 	0.483916 	0.103847 	
256.000000 	435.170013 	430.316040 	97.459724 	265.765839 	388.275177 	0.481904 	0.102806 	
